County,Bucks,Does,Unknown,Total,Species,Year
Autauga,864,738,0,1602,Deer,2017
Baldwin,1024,891,1,1916,Deer,2017
Barbour,1041,1028,2,2071,Deer,2017
Bibb,635,572,1,1208,Deer,2017
Blount,400,183,0,583,Deer,2017
Bullock,1009,1156,1,2166,Deer,2017
Butler,793,688,0,1481,Deer,2017
Calhoun,581,394,1,976,Deer,2017
Chambers,690,585,1,1276,Deer,2017
Cherokee,675,439,3,1117,Deer,2017
Chilton,605,494,0,1099,Deer,2017
Choctaw,684,580,0,1264,Deer,2017
Clarke,728,524,1,1253,Deer,2017
Clay,447,286,0,733,Deer,2017
Cleburne,349,232,0,581,Deer,2017
Coffee,447,293,0,740,Deer,2017
Colbert,465,355,0,820,Deer,2017
Conecuh,567,554,0,1121,Deer,2017
Coosa,984,723,0,1707,Deer,2017
Covington,612,477,2,1091,Deer,2017
Crenshaw,627,464,2,1093,Deer,2017
Cullman,406,245,0,651,Deer,2017
Dale,500,276,2,778,Deer,2017
Dallas,1184,1317,1,2502,Deer,2017
Dekalb,609,324,2,935,Deer,2017
Elmore,600,474,1,1075,Deer,2017
Escambia,508,499,0,1007,Deer,2017
Etowah,335,146,0,481,Deer,2017
Fayette,680,597,1,1278,Deer,2017
Franklin,668,487,0,1155,Deer,2017
Geneva,343,211,0,554,Deer,2017
Greene,594,575,1,1170,Deer,2017
Hale,407,484,1,892,Deer,2017
Henry,752,582,0,1334,Deer,2017
Houston,414,301,1,716,Deer,2017
Jackson,1366,1025,2,2393,Deer,2017
Jefferson,464,246,0,710,Deer,2017
Lamar,768,949,1,1718,Deer,2017
Lauderdale,822,482,0,1304,Deer,2017
Lawrence,423,152,0,575,Deer,2017
Lee,548,541,1,1090,Deer,2017
Limestone,572,296,0,868,Deer,2017
Lowndes,625,551,0,1176,Deer,2017
Macon,781,847,2,1630,Deer,2017
Madison,872,495,0,1367,Deer,2017
Marengo,785,604,0,1389,Deer,2017
Marion,807,791,1,1599,Deer,2017
Marshall,337,135,0,472,Deer,2017
Mobile,430,379,0,809,Deer,2017
Monroe,770,812,0,1582,Deer,2017
Montgomery,652,587,0,1239,Deer,2017
Morgan,277,141,0,418,Deer,2017
Not Specified,1454,1047,15,2516,Deer,2017
Perry,541,460,3,1004,Deer,2017
Pickens,858,842,0,1700,Deer,2017
Pike,645,572,1,1218,Deer,2017
Randolph,510,358,1,869,Deer,2017
Russell,923,924,0,1847,Deer,2017
Shelby,654,548,0,1202,Deer,2017
St. Clair,443,307,0,750,Deer,2017
Sumter,673,574,2,1249,Deer,2017
Talladega,516,386,1,903,Deer,2017
Tallapoosa,863,687,0,1550,Deer,2017
Tuscaloosa,974,808,0,1782,Deer,2017
Walker,780,547,0,1327,Deer,2017
Washington,658,536,0,1194,Deer,2017
Wilcox,893,754,1,1648,Deer,2017
Winston,658,314,0,972,Deer,2017
Autauga,657,441,0,1098,Deer,2018
Baldwin,1032,681,1,1714,Deer,2018
Barbour,1083,906,1,1990,Deer,2018
Bibb,661,447,1,1109,Deer,2018
Blount,346,140,0,486,Deer,2018
Bullock,983,955,0,1938,Deer,2018
Butler,777,636,0,1413,Deer,2018
Calhoun,519,259,0,778,Deer,2018
Chambers,631,419,4,1054,Deer,2018
Cherokee,632,329,0,961,Deer,2018
Chilton,574,363,0,937,Deer,2018
Choctaw,696,463,1,1160,Deer,2018
Clarke,849,538,0,1387,Deer,2018
Clay,429,216,0,645,Deer,2018
Cleburne,416,208,1,625,Deer,2018
Coffee,462,296,0,758,Deer,2018
Colbert,529,268,1,798,Deer,2018
Conecuh,591,556,0,1147,Deer,2018
Coosa,892,559,0,1451,Deer,2018
Covington,641,475,0,1116,Deer,2018
Crenshaw,628,416,0,1044,Deer,2018
Cullman,479,157,2,638,Deer,2018
Dale,530,274,0,804,Deer,2018
Dallas,1289,1244,1,2534,Deer,2018
Dekalb,630,258,1,889,Deer,2018
Elmore,530,329,0,859,Deer,2018
Escambia,633,679,0,1312,Deer,2018
Etowah,299,122,0,421,Deer,2018
Fayette,697,571,0,1268,Deer,2018
Franklin,645,409,1,1055,Deer,2018
Geneva,341,157,0,498,Deer,2018
Greene,607,533,1,1141,Deer,2018
Hale,492,360,0,852,Deer,2018
Henry,859,546,2,1407,Deer,2018
Houston,500,290,1,791,Deer,2018
Jackson,1348,710,0,2058,Deer,2018
Jefferson,400,184,0,584,Deer,2018
Lamar,737,717,0,1454,Deer,2018
Lauderdale,898,412,0,1310,Deer,2018
Lawrence,427,161,0,588,Deer,2018
Lee,608,464,1,1073,Deer,2018
Limestone,590,218,0,808,Deer,2018
Lowndes,589,463,0,1052,Deer,2018
Macon,754,602,1,1357,Deer,2018
Madison,871,415,0,1286,Deer,2018
Marengo,730,452,0,1182,Deer,2018
Marion,781,615,0,1396,Deer,2018
Marshall,325,119,0,444,Deer,2018
Mobile,396,249,0,645,Deer,2018
Monroe,721,667,0,1388,Deer,2018
Montgomery,650,412,1,1063,Deer,2018
Morgan,284,135,0,419,Deer,2018
Not Specified,1180,640,9,1829,Deer,2018
Perry,594,421,0,1015,Deer,2018
Pickens,871,699,1,1571,Deer,2018
Pike,723,519,0,1242,Deer,2018
Randolph,502,266,0,768,Deer,2018
Russell,1103,912,0,2015,Deer,2018
Shelby,643,439,0,1082,Deer,2018
St. Clair,364,207,0,571,Deer,2018
Sumter,670,458,0,1128,Deer,2018
Talladega,578,327,0,905,Deer,2018
Tallapoosa,909,525,1,1435,Deer,2018
Tuscaloosa,1032,655,0,1687,Deer,2018
Walker,739,413,0,1152,Deer,2018
Washington,562,441,0,1003,Deer,2018
Wilcox,876,621,0,1497,Deer,2018
Winston,654,298,0,952,Deer,2018
Autauga,681,528,0,1209,Deer,2019
Baldwin,1248,822,0,2070,Deer,2019
Barbour,1096,999,0,2095,Deer,2019
Bibb,755,620,1,1376,Deer,2019
Blount,388,183,0,571,Deer,2019
Bullock,1050,1069,2,2121,Deer,2019
Butler,793,633,0,1426,Deer,2019
Calhoun,572,335,0,907,Deer,2019
Chambers,678,548,0,1226,Deer,2019
Cherokee,713,530,1,1244,Deer,2019
Chilton,698,532,1,1231,Deer,2019
Choctaw,752,507,1,1260,Deer,2019
Clarke,1010,611,2,1623,Deer,2019
Clay,469,277,0,746,Deer,2019
Cleburne,394,272,0,666,Deer,2019
Coffee,597,319,1,917,Deer,2019
Colbert,584,365,0,949,Deer,2019
Conecuh,600,542,0,1142,Deer,2019
Coosa,932,711,0,1643,Deer,2019
Covington,657,517,1,1175,Deer,2019
Crenshaw,658,516,0,1174,Deer,2019
Cullman,521,233,1,755,Deer,2019
Dale,564,321,0,885,Deer,2019
Dallas,1262,1328,0,2590,Deer,2019
Dekalb,655,428,0,1083,Deer,2019
Elmore,582,409,1,992,Deer,2019
Escambia,686,564,0,1250,Deer,2019
Etowah,316,169,0,485,Deer,2019
Fayette,819,638,0,1457,Deer,2019
Franklin,783,498,1,1282,Deer,2019
Geneva,399,197,1,597,Deer,2019
Greene,572,550,0,1122,Deer,2019
Hale,478,417,0,895,Deer,2019
Henry,892,588,0,1480,Deer,2019
Houston,410,293,0,703,Deer,2019
Jackson,1471,846,0,2317,Deer,2019
Jefferson,486,240,0,726,Deer,2019
Lamar,860,908,2,1770,Deer,2019
Lauderdale,1006,666,0,1672,Deer,2019
Lawrence,459,155,0,614,Deer,2019
Lee,598,533,0,1131,Deer,2019
Limestone,631,371,0,1002,Deer,2019
Lowndes,701,521,0,1222,Deer,2019
Macon,726,644,1,1371,Deer,2019
Madison,907,616,0,1523,Deer,2019
Marengo,797,398,0,1195,Deer,2019
Marion,933,766,0,1699,Deer,2019
Marshall,372,101,0,473,Deer,2019
Mobile,425,300,0,725,Deer,2019
Monroe,729,564,0,1293,Deer,2019
Montgomery,720,519,0,1239,Deer,2019
Morgan,353,157,0,510,Deer,2019
Not Specified,883,501,13,1397,Deer,2019
Perry,637,506,0,1143,Deer,2019
Pickens,967,796,0,1763,Deer,2019
Pike,795,578,1,1374,Deer,2019
Randolph,495,343,0,838,Deer,2019
Russell,997,1012,1,2010,Deer,2019
Shelby,668,481,0,1149,Deer,2019
St. Clair,425,260,1,686,Deer,2019
Sumter,695,482,0,1177,Deer,2019
Talladega,545,375,0,920,Deer,2019
Tallapoosa,952,680,0,1632,Deer,2019
Tuscaloosa,1107,794,0,1901,Deer,2019
Walker,895,603,1,1499,Deer,2019
Washington,634,449,0,1083,Deer,2019
Wilcox,880,672,0,1552,Deer,2019
Winston,720,438,0,1158,Deer,2019
