County,Adults,Jakes,Unknown,Total,Species,Year
Autauga,177,6,0,183,Turkey,2017
Baldwin,117,6,0,123,Turkey,2017
Barbour,227,24,0,251,Turkey,2017
Bibb,87,13,0,100,Turkey,2017
Blount,87,3,0,90,Turkey,2017
Bullock,133,11,0,144,Turkey,2017
Butler,113,1,0,114,Turkey,2017
Calhoun,173,13,0,186,Turkey,2017
Chambers,130,3,0,133,Turkey,2017
Cherokee,204,12,0,216,Turkey,2017
Chilton,141,8,0,149,Turkey,2017
Choctaw,171,3,0,174,Turkey,2017
Clarke,141,5,0,146,Turkey,2017
Clay,146,7,0,153,Turkey,2017
Cleburne,180,7,0,187,Turkey,2017
Coffee,130,6,0,136,Turkey,2017
Colbert,143,12,0,155,Turkey,2017
Conecuh,93,3,0,96,Turkey,2017
Coosa,230,13,0,243,Turkey,2017
Covington,145,9,0,154,Turkey,2017
Crenshaw,139,6,0,145,Turkey,2017
Cullman,30,2,0,32,Turkey,2017
Dale,168,11,0,179,Turkey,2017
Dallas,265,5,0,270,Turkey,2017
Dekalb,69,15,0,84,Turkey,2017
Elmore,95,6,0,101,Turkey,2017
Escambia,66,1,0,67,Turkey,2017
Etowah,45,7,0,52,Turkey,2017
Fayette,146,18,0,164,Turkey,2017
Franklin,145,13,0,158,Turkey,2017
Geneva,58,6,0,64,Turkey,2017
Greene,150,11,0,161,Turkey,2017
Hale,85,5,0,90,Turkey,2017
Henry,157,18,0,175,Turkey,2017
Houston,65,4,0,69,Turkey,2017
Jackson,283,42,0,325,Turkey,2017
Jefferson,103,2,0,105,Turkey,2017
Lamar,109,9,0,118,Turkey,2017
Lauderdale,141,10,0,151,Turkey,2017
Lawrence,39,4,0,43,Turkey,2017
Lee,93,10,0,103,Turkey,2017
Limestone,13,11,0,24,Turkey,2017
Lowndes,108,6,0,114,Turkey,2017
Macon,113,4,0,117,Turkey,2017
Madison,77,8,0,85,Turkey,2017
Marengo,235,3,0,238,Turkey,2017
Marion,146,11,0,157,Turkey,2017
Marshall,34,0,0,34,Turkey,2017
Mobile,51,4,0,55,Turkey,2017
Monroe,129,1,0,130,Turkey,2017
Montgomery,149,6,0,155,Turkey,2017
Morgan,7,0,0,7,Turkey,2017
Not Specified,143,8,0,151,Turkey,2017
Perry,110,5,0,115,Turkey,2017
Pickens,165,9,0,174,Turkey,2017
Pike,162,10,0,172,Turkey,2017
Randolph,120,6,0,126,Turkey,2017
Russell,107,9,0,116,Turkey,2017
Shelby,86,7,0,93,Turkey,2017
St. Clair,71,5,0,76,Turkey,2017
Sumter,185,10,0,195,Turkey,2017
Talladega,111,9,0,120,Turkey,2017
Tallapoosa,169,10,0,179,Turkey,2017
Tuscaloosa,175,20,0,195,Turkey,2017
Walker,112,8,0,120,Turkey,2017
Washington,130,6,0,136,Turkey,2017
Wilcox,170,4,0,174,Turkey,2017
Winston,120,6,0,126,Turkey,2017
Autauga,136,3,0,139,Turkey,2018
Baldwin,141,2,0,143,Turkey,2018
Barbour,255,17,0,272,Turkey,2018
Bibb,137,7,0,144,Turkey,2018
Blount,73,5,0,78,Turkey,2018
Bullock,149,7,0,156,Turkey,2018
Butler,120,4,0,124,Turkey,2018
Calhoun,163,13,0,176,Turkey,2018
Chambers,120,8,0,128,Turkey,2018
Cherokee,195,13,0,208,Turkey,2018
Chilton,160,7,0,167,Turkey,2018
Choctaw,160,2,0,162,Turkey,2018
Clarke,183,2,0,185,Turkey,2018
Clay,114,3,0,117,Turkey,2018
Cleburne,160,7,0,167,Turkey,2018
Coffee,132,5,0,137,Turkey,2018
Colbert,111,18,0,129,Turkey,2018
Conecuh,103,2,0,105,Turkey,2018
Coosa,237,13,0,250,Turkey,2018
Covington,161,2,0,163,Turkey,2018
Crenshaw,143,2,0,145,Turkey,2018
Cullman,56,5,0,61,Turkey,2018
Dale,196,14,0,210,Turkey,2018
Dallas,246,7,0,253,Turkey,2018
Dekalb,73,19,0,92,Turkey,2018
Elmore,98,12,0,110,Turkey,2018
Escambia,100,4,0,104,Turkey,2018
Etowah,68,4,0,72,Turkey,2018
Fayette,177,11,0,188,Turkey,2018
Franklin,144,19,0,163,Turkey,2018
Geneva,85,7,0,92,Turkey,2018
Greene,181,3,0,184,Turkey,2018
Hale,120,6,0,126,Turkey,2018
Henry,175,17,0,192,Turkey,2018
Houston,68,3,0,71,Turkey,2018
Jackson,305,37,0,342,Turkey,2018
Jefferson,123,6,0,129,Turkey,2018
Lamar,146,10,0,156,Turkey,2018
Lauderdale,144,9,0,153,Turkey,2018
Lawrence,41,2,0,43,Turkey,2018
Lee,96,6,0,102,Turkey,2018
Limestone,25,4,0,29,Turkey,2018
Lowndes,133,3,0,136,Turkey,2018
Macon,105,10,0,115,Turkey,2018
Madison,100,10,0,110,Turkey,2018
Marengo,208,6,0,214,Turkey,2018
Marion,181,20,0,201,Turkey,2018
Marshall,41,5,0,46,Turkey,2018
Mobile,57,2,0,59,Turkey,2018
Monroe,132,2,0,134,Turkey,2018
Montgomery,110,10,0,120,Turkey,2018
Morgan,6,1,0,7,Turkey,2018
Not Specified,81,4,0,85,Turkey,2018
Perry,101,4,0,105,Turkey,2018
Pickens,253,18,0,271,Turkey,2018
Pike,191,12,0,203,Turkey,2018
Randolph,91,5,0,96,Turkey,2018
Russell,92,9,0,101,Turkey,2018
Shelby,99,7,0,106,Turkey,2018
St. Clair,94,11,0,105,Turkey,2018
Sumter,191,5,0,196,Turkey,2018
Talladega,139,13,0,152,Turkey,2018
Tallapoosa,152,10,0,162,Turkey,2018
Tuscaloosa,204,21,0,225,Turkey,2018
Walker,104,6,0,110,Turkey,2018
Washington,119,2,0,121,Turkey,2018
Wilcox,172,2,0,174,Turkey,2018
Winston,115,15,0,130,Turkey,2018
Autauga,136,10,0,146,Turkey,2019
Baldwin,131,12,0,143,Turkey,2019
Barbour,239,18,0,257,Turkey,2019
Bibb,143,19,0,162,Turkey,2019
Blount,104,19,0,123,Turkey,2019
Bullock,142,9,0,151,Turkey,2019
Butler,105,6,0,111,Turkey,2019
Calhoun,248,24,0,272,Turkey,2019
Chambers,105,16,0,121,Turkey,2019
Cherokee,228,20,0,248,Turkey,2019
Chilton,207,17,0,224,Turkey,2019
Choctaw,159,3,0,162,Turkey,2019
Clarke,168,4,0,172,Turkey,2019
Clay,128,11,0,139,Turkey,2019
Cleburne,220,7,0,227,Turkey,2019
Coffee,127,9,0,136,Turkey,2019
Colbert,143,18,0,161,Turkey,2019
Conecuh,88,4,0,92,Turkey,2019
Coosa,218,26,0,244,Turkey,2019
Covington,123,3,0,126,Turkey,2019
Crenshaw,131,7,0,138,Turkey,2019
Cullman,53,7,0,60,Turkey,2019
Dale,176,12,0,188,Turkey,2019
Dallas,264,11,0,275,Turkey,2019
Dekalb,80,17,0,97,Turkey,2019
Elmore,99,16,0,115,Turkey,2019
Escambia,91,6,0,97,Turkey,2019
Etowah,76,11,0,87,Turkey,2019
Fayette,205,10,0,215,Turkey,2019
Franklin,183,23,0,206,Turkey,2019
Geneva,80,7,0,87,Turkey,2019
Greene,204,11,0,215,Turkey,2019
Hale,115,10,0,125,Turkey,2019
Henry,198,11,0,209,Turkey,2019
Houston,67,8,0,75,Turkey,2019
Jackson,449,82,0,531,Turkey,2019
Jefferson,185,20,0,205,Turkey,2019
Lamar,186,13,0,199,Turkey,2019
Lauderdale,166,16,0,182,Turkey,2019
Lawrence,46,10,0,56,Turkey,2019
Lee,101,17,0,118,Turkey,2019
Limestone,35,5,0,40,Turkey,2019
Lowndes,132,9,0,141,Turkey,2019
Macon,132,13,0,145,Turkey,2019
Madison,111,16,0,127,Turkey,2019
